jurisdiction,law_name,law_year,summary,full_text_url,keywords
European Union,EU AI Act,2024,"Comprehensive risk-based regulation of artificial intelligence systems. Classifies AI by risk tier: unacceptable (banned), high-risk (strict obligations), limited-risk (transparency), minimal-risk (free use). Bans social scoring and real-time biometric surveillance in public spaces. Requires conformity assessments, human oversight, and transparency for high-risk AI. General-purpose AI models face additional obligations. Fines up to 35 million EUR or 7% of global turnover.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,"artificial intelligence,AI,facial recognition,biometric,risk classification,transparency,algorithmic,automation,machine learning"
European Union,General Data Protection Regulation (GDPR),2018,"Gold-standard data protection law. Six lawful bases for processing (consent, contract, legal obligation, vital interests, public task, legitimate interests). Data subject rights: access, rectification, erasure, portability, objection, automated decision-making. Data minimisation and purpose limitation principles. 72-hour breach notification to supervisory authority. Data Protection Officers required for large-scale processing. Fines up to 20 million EUR or 4% of global annual turnover.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0679,"data protection,privacy,personal data,consent,right to erasure,data breach,GDPR,data subject,data controller,data processor"
United Kingdom,Data Protection Act 2018,2018,"UK implementation of GDPR principles supplemented with derogations for law enforcement and intelligence services. Retained as UK GDPR post-Brexit. Establishes Information Commissioner's Office (ICO) with enforcement powers. Includes provisions for journalistic, academic, and artistic exemptions. Special categories of sensitive data receive enhanced protection.",https://www.legislation.gov.uk/ukpga/2018/12/contents,"data protection,privacy,personal data,UK GDPR,information commissioner,ICO,sensitive data,consent"
India,Digital Personal Data Protection Act (DPDPA) 2023,2023,"India's first comprehensive data protection law. Data fiduciaries must obtain free, specific, informed, and unconditional consent. Data principals have rights to correction, erasure, grievance redressal, and nomination. Significant data fiduciaries face enhanced obligations including data protection officers and audits. Cross-border data transfer by government whitelisting of jurisdictions. Penalties up to INR 250 crore for breaches. Children's data requires verifiable parental consent.",https://www.meity.gov.in/data-protection-framework,"data protection,privacy,personal data,consent,data fiduciary,India,children,cross-border,penalty"
United States,California Consumer Privacy Act (CCPA) / CPRA 2018,2020,"California's comprehensive privacy law granting consumers: right to know what data is collected, right to delete, right to opt-out of sale of personal information, right to non-discrimination. CPRA 2020 amendment added right to correct, right to limit sensitive personal information use, and created California Privacy Protection Agency. Applies to businesses meeting revenue or data volume thresholds.",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=CIV&division=3.&title=1.81.5,"privacy,consumer rights,personal information,opt-out,data sale,California,CCPA,CPRA,sensitive data"
South Africa,Protection of Personal Information Act (POPIA) 2013,2020,"South Africa's data protection law based on eight processing conditions: accountability, processing limitation, purpose specification, further processing limitation, information quality, openness, security safeguards, data subject participation. Establishes Information Regulator SA. Mandatory breach notification. Operators (processors) must be contracted. Prohibition on processing of special personal information without consent or exemption.",https://www.gov.za/documents/protection-personal-information-act,"data protection,privacy,personal information,information officer,South Africa,POPIA,information regulator,processing conditions"
Nigeria,Nigeria Data Protection Act (NDPA) 2023,2023,"Nigeria's comprehensive data protection legislation replacing the 2019 Regulation. Establishes Nigeria Data Protection Commission (NDPC) as the regulatory body. Lawful basis requirements, data subject rights (access, correction, deletion, portability). Mandatory breach notification. Cross-border transfer safeguards requiring adequacy or safeguards. Data Protection Compliance Organisations (DPCOs) as licensed compliance service providers.",https://ndpc.gov.ng/NDPA2023.pdf,"data protection,privacy,Nigeria,personal data,data commission,NDPC,breach notification,data subject rights"
Ghana,Data Protection Act 2012,2012,"Ghana's data protection framework requiring registration of all data controllers with the Data Protection Commission. Eight data protection principles parallel to UK DPA. Data subjects have rights of access and correction. Sensitive personal data (health, politics, religion, criminal) receives enhanced protection. Cross-border transfers require Commission approval unless adequate protection exists.",https://www.dataprotection.org.gh/sites/default/files/Data-Protection-Act-2012-Act-843.pdf,"data protection,privacy,Ghana,personal data,data controller,registration,sensitive data"
Canada,PIPEDA — Personal Information Protection and Electronic Documents Act,2000,"Canada's federal private-sector privacy law applying to commercial activities. Ten Fair Information Principles: accountability, identifying purposes, consent, limiting collection, limiting use/disclosure/retention, accuracy, safeguards, openness, individual access, challenging compliance. Mandatory breach-of-security notification to Privacy Commissioner and affected individuals. Being modernised by proposed Bill C-27 (Consumer Privacy Protection Act).",https://laws-lois.justice.gc.ca/eng/acts/P-8.6/,"privacy,personal information,consent,Canada,breach notification,PIPEDA,fair information principles"
Brazil,Lei Geral de Proteção de Dados — LGPD 2018,2018,"Brazil's GDPR-equivalent data protection law. Ten legal bases for processing including consent, legitimate interest, and public policy. Data subject rights: confirmation, access, correction, anonymisation, portability, deletion, information about sharing, and revocation of consent. Data Protection Officer (DPO) requirement. National Data Protection Authority (ANPD) as regulator. Extraterritorial application for data collected in Brazil.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,"data protection,privacy,Brazil,LGPD,personal data,ANPD,DPO,consent,legal basis"
Singapore,Personal Data Protection Act (PDPA) 2012,2012,"Singapore's data protection law establishing nine data protection obligations: consent, purpose limitation, notification, access and correction, accuracy, protection, retention limitation, transfer limitation, openness. Do Not Call (DNC) registry for telemarketing. Personal Data Protection Commission (PDPC) as regulator. 2020 amendment added mandatory breach notification, data portability, and right to correction.",https://www.pdpc.gov.sg/Overview-of-PDPA/The-Legislation/Personal-Data-Protection-Act,"data protection,privacy,Singapore,personal data,PDPC,consent,breach notification,data portability"
